Parent Ids;ID;Konzepte;Typ;Synonyme;Wortformen
152;153;verursacht durch Hitze;;;
152;154;Typologie von Dürreereignissen;;;
;155;meteorologische Dürre;;;
;156;hydrologische Dürre;;;
;157;landwirtschaftliche Dürre;;;
;158;sozio-ökonomische Dürre;;;
152;159;Dürreperiode;;;
;160;Palmer-Dürre-Index;;;
;161;Folgen von Dürren;;;
;162;geringere Ernten hohe Preise für die geernteten Güter (extern);;;
;163;Engpässe in der Stromversorgung;;;
;164; als Folge--->>Waldbrand;;;
;165;Bodenerosion;;;
;166;schlimmste Dürre des Jahrtausends Deutschland1540;;;
117;167;Waldbrand (Flurbrand Vegetationsbrand);;;
;168;Waldbrandgefahr;;;
;169;Waldbrand-Gefahrenstufe;;;
;170;waldbrand-statistik;;;
;171;waldbrand-beobachtungssystemWaldbrandüberwachungsflüge;;;
;172;waldbrand-jahr;;;
;173;Waldbrandausrüstung;;;
2;174;Hydrologische;;;
;175;Lawinen;;;
;176;Lawinenauslöser;;;
;177;Schwachschicht;;;
;178;Schneebrett;;;
;179;meschliche Aktivitäten;;;
;180;Schneeschuhwanderer;;;
;181;;;;
;182;Gleitschneelawinen;;;
;183;Lockerschneelawinen;;;
;184;Schneedecke;;;
;185;große Temperaturuntteschiede;;;
;186;Schneekörner;;;
;187;Schneekristalle;;;
;188;vereiste Rutschfläche;;;
;189;Schneeprofil;;;
;190;Sicherheitausrüstung;;;
;191;Lawinenairbags;;;
;192;Lawinenschaufel;;;
;193;Lawinensonde;;;
;194;Lawinenverschüttetensuchgerät (LVS);;;
;195;Lawinen-Rucksack;;;
;196;Luftkissen;;;
;197;Lawinendienst;;;
;198;Rettungskräfte;;;
;199;Lawinenrettungsgruppe;;;
;200;Lavinenopfer;;;
;201;Verschüttete;;;
;202;Todesopfer nach Lawinenunglück;;;
;203;Erfrorene;;;
;204;Lawinengefahr;;;
;205;Lawinenrisiko;;;
;206;Hangneigung;;;
;207;Sicherheit;;;
;208;Neigungswinkel;;;
;209;Gradient;;;
;210;Lawinenagbang;;;
;211;Lawinengefahrenstufen;;;
;212;Lawinenwarnung;;;
;213;Berechnung von Lawinenwarnzonen;;;
;214;Lawinenwarnstufe;;;
;215;Lawinenrisikomanagment;;;
2;216;Klimabedingte;;;
;217;Klimawandel;;;
;218;Extremwetterereignisse;;;
;219;Hitzewellen;;;
;220;Hitze;;;
;221;Trokenheit;;;
;222;Hitzeperiode;;;
;223;Hitzebelastung;;;
;224;Maßnahmen gegen Hitze;;;
;225;Hitzeschutzplan;;;
;226;Trinkwasserbrunnen;;;
;227;regulierte Arbeitszeiten und -bedingungen;;;
;228;Hitzefrei;;;
;229;Seniorenbesuche;;;
;230;Kühlsäle;;;
;231;Tierschutz;;;
;232;Eis für Vierbeiner;;;
;233;Sonnencreme mit hohem Lichtschutzfaktor;;;
;234;Klimaanlage installieren;;;
;235;Sommergrippe;;;
;236;Maßnahmen für Begrünung uns Schattierung;;;
;237;mehr Bäume pflanzen;;;
;238;Hagelschutznetze;;;
;239;gegen Sonnebrand für Bäume;;;
;240;Hitze- & Trokcenheitfolgen;;;
;241;Hitzeerkrankungen;;;
;242;Kreislaufbeschwerden;;;
;243;Magen-Darm-Infektionen;;;
;244;Sonnenstich;;;
;245;Hitzekollaps-/schlag;;;
;246;Hitzekrämpfe;;;
;247;fehlende Thermoregulation;;;
;248;Wärmebelastung;;;
;249;Schlafprobleme;;;
;250;Natur- und Landwirtschaft;;;
;251;sinkendes Grundwasserspiegel;;;
;252;Dürre (Dürreereignis);;;
;253;Dürrejahr;;;
;254;Dürresommer;;;
;255;Dürremonitor;;;
;256;Dürre-Notstand;;;
;257;Dürregefahr;;;
;258;Dürresituation;;;
;259;Dürreschäden;;;
;260;Dürreproblem;;;
;261;ürreszenario;;;
;262;Dürreperiod;;;
;263;dürrebedingte;;;
;264;Extremer Schneefall;;;
;265;Personalmangel;;;
;266;Auswirkung auf Erntejahr;;;
;267;Auswirkung auf Forstwirtschaft;;;
;268;erschwete Bekämpfung des Borkenkäfers;;;
;269;Wasserknappheit;;;
;270;Niedrigwasser;;;
;271;ausgetroknete Flussläufe;;;
;272;Blaualgenplagen;;;
;273;gestresste Bäume und Pflanzen;;;
;274;ausgetrockneter Boden;;;
;275;Gefahr von Waldbränden;;;
;276;Hochwasser;;;
;277;Überschwemmung;;;
;278;Flutkatastrophe;;;
;279;Überflutung;;;
;280;Flutwelle;;;
;281;Sturmflut;;;
;282;überflutet;;;
;283;Flutpolder;;;
;284;Überflutungsgefahr;;;
;285;flutgeschädigten;;;
;286;überflutete;;;
;287;Fluthilfe;;;
;288;Flutopfer;;;
;289;Flutgebiet;;;
;290;Überflutungsflächen;;;
;291;Sturzflut;;;
;292;sturzflutartiges;;;
;293;Unwetter;;;
;294;Starkregen (Dauerregen);;;
;295;Starkregenfall;;;
;296;Starkgewitter;;;
;297;Starkniederschläge;;;
;298;Sturmkatastrophe (Orkan);;;
;299;Sturm Sabine;;;
;300;Hagelsturm;;;
;301;Schneesturm;;;
;302;Sandsturm;;;
;303;Strumschaden;;;
;304;Sturmböen;;;
;305;sturmbedingte;;;
;306;Sturmwarnung;;;
;307;Sturmintensität;;;
;308;Sturmflutrisiko;;;
;309;Sturmflutgefahr;;;
;310;Sturmwahrscheinlichkeit;;;
;311;Sturmflutereignis;;;
2;312;Biologische;;;
;313;Insektenplagen;;;
;314;Schädlingsplagen (Heuschreckeneinfall);;;
;315;Epidemien;;;
2;316;Extraterrestrische;;;
;317;Meteoriteneinschläge;;;
1;318;Naturkatastrophenursachen;;;
;319;Erdrutsch ( Bergrutsch) ;;;
;320;Schwarmlawine;;;
;321;Murgang;;;
;322;Abholzung;;;
;323;Erderwärmung;;;
