"Word,""Frequency"""
('davon', 'lawinensituation'),1
('angespannt', 'lawinensituation'),1
('allerhöchste', 'lawinenwarnstufe'),1
('erreicht', 'lawinenwarnstufe'),1
('empfehlung', 'lawinenwarndienst'),1
('abseits', 'lawinenwarndienst'),1
('erreicht', 'lawinenabgang'),1
('kals', 'lawinenabgang'),1
('groß.mit', 'lawinengefahr'),1
('lawinengefahr', 'regenrückgangs'),1
('lawinengefahr', 'morgen'),1
('lawinen', 'störanfällig'),1
('lawinen', 'weiterhin'),1
('lawinengefahr', 'nimmt'),1
('lawinengefahr', 'pegel'),1
('2015', 'lawine'),1
('informiert', 'lawinenabgang'),1
('lawinenabgang', 'norditalienischen'),1
('lawine', 'teilgenommen'),1
('aufgenommen', 'lawinengefahr'),1
('lawinengefahr', 'teils'),1
('lawinen', 'meist'),1
('heißt', 'lawinenlagebericht.lawinenwarndienst'),1
('bayern', 'lawinenlagebericht.lawinenwarndienst'),1
('lawinenlageberichten', 'links'),1
('alpenregionen', 'lawinenlageberichten'),1
('dpa', 'lawine'),1
('große', 'lawine'),1
('großer', 'lawine'),1
('lawine', 'präfektur'),1
('100', 'lawine'),1
('großen', 'lawine'),1
('lawine', 'rede'),1
('lawinen-abgangs', 'video-aufnahmen'),1
('lawinen-abgangs', 'lawinenabgang'),1
('lawinenabgang', 'österreichischen'),1
('lawinenwarnbericht', 'sachsen-anhalt.zum'),1
('alpenlawinenabgang', 'lawinenwarnbericht'),1
('alpenlawinenabgang', 'schruns'),1
('komplett', 'lawine'),1
('lawine', 'selbstständig'),1
('knapp', 'lawine'),1
('beteiligt.erhebliche', 'lawinengefahr'),1
('lawinengefahr', 'unglückszeitpunktzu'),1
('lawinengefahr', 'wegen'),1
('lawinenausrüstung', 'vollständiger'),1
('lawinenausrüstung', 'ortung'),1
('lawinenairbags', 'trugen'),1
('dabei', 'lawinenairbags'),1
('lawinenunglück', 'passau'),1
('lawinenunglück', 'rocky'),1
('lawine', 'wirdverunglückte'),1
('.hergang', 'lawinenunglücks'),1
('lawinenunglücks', 'weitestgehend'),1
('hergang', 'lawinenunglücks'),1
('lawinenunglücks', 'wisse'),1
('amt', 'lawine'),1
('ausgelöst', 'lawine'),1
('lawine', 'verschüttete'),1
('lawine', 'mittwoch'),1
('lawine', 'tote'),1
('kanada', 'lawine'),1
('lawine', 'nachfrage'),1
('erfasst.auftrag', 'lawine'),1
('lawine', 'versehentlich'),1
('auslöst', 'lawine'),1
('beinahe', 'lawine'),1
('lawine', 'pisten'),1
('lawinenlage', 'tourengeher'),1
('lawinenlage', 'richtig'),1
('lawinenlagebericht', 'richtigeinen'),1
('lawinenparagrafen', 'richtigeinen'),1
('italienfast', 'lawinenparagrafen'),1
('fremdgefährdung', 'lawine'),1
('beschäftigt', 'lawine'),1
('einzugsgebiet', 'lawine'),1
('gebäude', 'lawine'),1
('lawine', 'praxis'),1
('gleich', 'lawine'),1
('lawinenschaufel', 'wer'),1
('lawinenschaufel', 'lawinenverschütteten-suchgerät'),1
('lawinenverschütteten-suchgerät', 'lvs'),1
('gleichermaßen', 'lawine'),1
('häufigen', 'lawinen'),1
('lawinen', 'wildtiere'),1
('lawinenrinnen', 'sogenannten'),1
('aufhalten', 'lawinenrinnen'),1
('lawinen', 'zuletzt'),1
('bringen', 'lawinen'),1
('lawinenlagebericht', 'neuen'),1
('lawinenlagebericht', 'wer'),1
('lawine', 'sorge'),1
('bewegen', 'lawinengefahr'),1
('lawinengefahr', 'unterschätzen'),1
('deutsche', 'lawinenwarndienst'),1
('entspricht', 'lawinengefahr'),1
('erheblichen', 'lawinengefahr'),1
('angebracht', 'lawinenwarndienst'),1
('einschätzung', 'lawinengefahr'),1
('erheblich.zum', 'lawinengefahr'),1
('artikel', 'lawinenunglück'),1
('lawinenunglück', 'zugspitze'),1
('lawinen-ausrüstung', 'richtige'),1
('lawinen-ausrüstung', 'problematisch'),1
('könnten', 'schneebrettlawine'),1
('auslösen', 'schneebrettlawine'),1
('beim', 'lawinenwarndienst.das'),1
('lawinenwarndienst.das', 'wichtigste'),1
('anschauen', 'lawinengefahr'),1
('beurteilt', 'lawinengefahr'),1
('lawinensuchgerät', 'sollten'),1
('lawinensuchgerät', 'sonde'),1
('lawinen-rucksack', 'vielleicht'),1
('lawinen-rucksack', 'luftkissen'),1
('lawinentoten', 'zehn'),1
('lawinentoten', 'österreichischen'),1
('dabei', 'lawinenwarndienste'),1
('lawinenwarndienste', 'vorfeld'),1
('lawinenlagebericht', 'wetter-'),1
('angespannter', 'lawinenlage'),1
('berg', 'lawinenlage'),1
('lawinengefahr', 'sinkt'),1
('intensiven', 'lawinengefahr'),1
('lawinen', 'tagen'),1
('groß', 'lawinen'),1
('lawinen', 'wäldern'),1
('lawinen', 'schneeverhältnissen'),1
('lawine', 'rettung'),1
('entscheidend', 'lawine'),1
('gruppe', 'lawinenverschütteten-suchgerät'),1
('lawinenverschütteten-suchgerät', 'sonde'),1
('lawine', 'überlebenswichtig'),1
('lawine', 'zugspitzgebiet'),1
('lawine', 'sofortmaßnahmen'),1
('lawine', 'rettungskräfte'),1
('dürfen', 'lawinengefahr'),1
('gestellt', 'lawinenabgang'),1
('gestellt', 'lawinenairbags'),1
('bieten', 'lawinenairbags'),1
('aktuellen', 'lawinenlage'),1
('lawinenlage', 'wintersport-treibende'),1
('informieren', 'lawinenwarndienste'),1
('geben', 'lawinenwarndienste'),1
('lawinenwarnstufe', 'steht'),1
('lawinenwarnstufe', 'vieles'),1
('erhält', 'lawinenlagebericht'),1
('lawinenlagebericht', 'täglich'),1
('bericht', 'lawine.report'),1
('lawine.report', 'lawinenlagebericht'),1
('lawinen', 'schneemassen'),1
('lawinen', 'weniger'),1
('es.temperaturunterschiede', 'lawinen'),1
('lawinengefahr', 'schneedecke'),1
('bricht', 'lawine'),1
('lawinenarten', 'unterschiedlichen'),1
('lawinenarten', 'schneebretter'),1
('lawinenabgängen', 'risiko'),1
('gefährdet', 'lawinenabgängen'),1
('gelände', 'lawinenrisiko'),1
('höchsten', 'lawinenrisiko'),1
('lawinenunfälle', 'tödlichen'),1
('lawinenunfälle', 'schwankt'),1
('100', 'lawinentote'),1
('lawinentote', 'pro'),1
('lawine', 'wirdein'),1
('lawinenlagebericht', 'wetterbericht'),1
('grundlegende', 'lawinenlagebericht'),1
('informationsquelle', 'lawinengefahr'),1
('besten', 'lawinengefahr'),1
('lawinenlagebericht', 'wetter'),1
('dagegensprechen', 'lawinenlagebericht'),1
('gehört', 'lawinenverschüttetensuchgerät'),1
('lawinenverschüttetensuchgerät', 'lvs'),1
('funksignale', 'lawinenunfall'),1
('lawinenunfall', 'schaltet'),1
('beschleunigen.eine', 'lawinenschaufel'),1
('augenzeuge', 'lawinenunglücks'),1
('großen', 'lawinenunglücks'),1
('lawinenwarnstufe', 'zweithöchste'),1
('lawinenwarnstufe', 'trotz'),1
('lawinen-tote', 'trifftacht'),1
('lawinen-tote', 'wochenende'),1
('lawinenabgängen', 'schneefällen'),1
('lawinenabgängen', 'ums'),1
('lawinenabgang', 'starben'),1
('lawinenabgang', 'schweiz'),1
('große', 'lawinengefahr.lawine'),1
('lawinengefahr.lawine', 'reißt'),1
('fahrzeug', 'lawine'),1
('lawine', 'leblos'),1
('lawine', 'opfer'),1
('hohen', 'lawinengefahr'),1
('lawine', 'männer'),1
('hoch', 'lawinen'),1
('gründe', 'lawinenunfälle'),1
('arlberg', 'lawinenunfälle'),1
('lawinenabgang', 'wintersportler'),1
('abseits', 'lawinenabgang'),1
('15-jähriger', 'lawine'),1
('lawinenabgang', 'südtirol'),1
