Word;Frequency;
bewegt;4;
veröffentlichten;4;
eisverlust;4;
beobachtungen;4;
treibhausgase;4;
2019;4;
erwärmt;4;
teilte;4;
früher;4;
dr.;4;
forschungsstation;4;
rettungskräfte;4;
gelegenen;4;
elf;4;
höher;4;
darunter;4;
mann;4;
frau;4;
tage;4;
abgang;4;
kaukasus;4;
teile;4;
beschäftigte;4;
hofmuth;4;
beschäftigten;4;
spielen;4;
gut;4;
regelmäßigen;4;
sonntag;4;
ungefähr;4;
geschwindigkeit;4;
bayerns;4;
gefahr;4;
gefährdet;4;
wachsen;4;
hundert;4;
passiert;4;
zirbe;4;
stüdlhütte;4;
boden;4;
fehlt;4;
erste;4;
mithilfe;4;
bedroht;4;
tot;4;
bergsteigen;4;
gefährlicher;4;
vermisst;4;
heutigen;4;
schützen;4;
italienischen;4;
draghi;4;
steilen;4;
zugspitzgipfel;4;
messner;4;
sogenannte;4;
globale;4;
gelten;4;
sieht;4;
alpenraum;4;
nature;4;
eisschilde;4;
weltweiten;4;
geographischen;4;
umwelt;4;
atmosphäre;4;
spielt;4;
ozeane;4;
grundwasservorkommen;4;
pol;4;
teilweise;4;
alleine;4;
glauber;4;
lebensraum;4;
kleinen;4;
jährlich;4;
internationalen;4;
abhängig;4;
einhalten;4;
sonderbericht;4;
kryosphäre;4;
greenpeace;4;
söder;4;
ötzi;4;
sprachwissenschaftler;4;
sprache;4;
gericht;4;
dorf;4;
schlamm;4;
eibsee;4;
bergsturz;4;
inneren;4;
schneidermeier;3;
persönlichen;3;
jedoch;3;
tun;3;
lawinen;3;
leute;3;
grund;3;
rechnen;3;
saison;3;
alpenverein;3;
pläne;3;
lesen;3;
pitztaler;3;
kaunertaler;3;
tiroler;3;
ötztaler;3;
seiten;3;
skigebieten;3;
lifte;3;
sollen;3;
massiv;3;
dav;3;
massiven;3;
wasserknappheit;3;
dürften;3;
bisherige;3;
ausmaß;3;
untersuchung;3;
beteiligt;3;
quadratkilometer;3;
komplett;3;
staaten;3;
thema;3;
somit;3;
schmelze;3;
frühjahr;3;
vielleicht;3;
piste;3;
krankenhaus;3;
blieben;3;
wenigen;3;
grenze;3;
soldaten;3;
mensch;3;
heißen;3;
quer;3;
verpflegung;3;
einschätzung;3;
konsequenzen;3;
eisfrei;3;
beeinflussen;3;
verliert;3;
müssten;3;
reduziert;3;
anstrengung;3;
wichtig;3;
klimaforscher;3;
arten;3;
extrem;3;
messungen;3;
ergebnisse;3;
status;3;
bereichen;3;
halbiert;3;
mache;3;
professor;3;
hochschule;3;
letzte;3;
scnat;3;
mittwoch;3;
bedeutet;3;
phänomen;3;
erstreckt;3;
gesamten;3;
höhen;3;
gab;3;
schön;3;
prognosen;3;
gelingt;3;
reduzieren;3;
folien;3;
massiver;3;
sonneneinstrahlung;3;
ewiges;3;
aktuelle;3;
hart;3;
wallis;3;
hitze;3;
vermehrt;3;
statt;3;
verbleibende;3;
anblick;3;
geophysiker;3;
arbeitet;3;
warm;3;
wärme;3;
energie;3;
größte;3;
gehabt;3;
regelmäßig;3;
dürfte;3;
neben;3;
beide;3;
liegen;3;
autonome;3;
erklärte;3;
eigenen;3;
massive;3;
gletscher-;3;
gegend;3;
gefunden;3;
magnus-werkstätten;3;
holzhausen;3;
gletscherbahn;3;
ausflug;3;
erzählt;3;
grünen;3;
geröllwüste;3;
höhenmetern;3;
langsamer;3;
schwierig;3;
zusätzlich;3;
biergarten;3;
drohen;3;
mittlerweile;3;
untersuchen;3;
gleichen;3;
urwald;3;
michiels;3;
pflanzenarten;3;
fichtenwald;3;
mittelfristig;3;
wirkt;3;
wächst;3;
fanden;3;
lebensräume;3;
beitragen;3;
stabil;3;
ähnlich;3;
ausgangspunkt;3;
frage;3;
beeinflusst;3;
krautblatter;3;
zustand;3;
hütten;3;
verändern;3;
ganze;3;
stieg;3;
samstag;3;
geröllmassen;3;
dennoch;3;
tote;3;
familien;3;
ging;3;
zeitpunkt;3;
hinzu;3;
bilden;3;
gering;3;
letztendlich;3;
groß;3;
hoffnung;3;
untergrund;3;
bleibt;3;
bergrettung;3;
dellantonio;3;
italiens;3;
mario;3;
regierungschef;3;
fuße;3;
festgesetzt;3;
erfasst;3;
geworden;3;
gefährlich;3;
himalaya;3;
gehören;3;
fels-;3;
aktuell;3;
regierung;3;
juni;3;
flecken;3;
europa;3;
beiden;3;
satellitenbilder;3;
nasa;3;
nordpol;3;
verschiebt;3;
poldrift;3;
1990er;3;
wahrscheinlich;3;
wanderschaft;3;
erdoberfläche;3;
bewegungen;3;
flüsse;3;
faktoren;3;
erstmals;3;
grace;3;
grace-fo;3;
zwanzig;3;
1995;3;
erklären;3;
osten;3;
rest;3;
spricht;3;
bergregionen;3;
geführt;3;
dunkler;3;
menge;3;
forscherinnen;3;
überall;3;
bild;3;
meeresspiegelanstieg;3;
küstenregionen;3;
skiurlaub;3;
co2;3;
schnitt;3;
auto;3;
winterurlaub;3;
gemacht;3;
co2-emissionen;3;
gilt;3;
größere;3;
4.000,00;3;
vorindustriellen;3;
klimaziele;3;
wichtigste;3;
länder;3;
ländern;3;
fluss;3;
1;8;3
1;5-grad-ziel;3
gletschervolumen;3;
klar;3;
bekommen;3;
ökosysteme;3;
arktis;3;
2015;3;
hergestellt;3;
erneut;3;
katastrophe;3;
xinjiang;3;
verdoppelt;3;
quadratmeter;3;
fest;3;
2012;3;
straße;3;
klage;3;
saas-grund;3;
lfu;3;
oft;2;
bergwelt;2;
gedanken;2;
bergsport;2;
bewusst;2;
versuchen;2;
einfach;2;
verbundenheit;2;
skitouristen;2;
felix;2;
fahren;2;
hersteller;2;
hinein;2;
verlassen;2;
zynisch;2;
stellungnahme;2;
augen;2;
trotz;2;
februar;2;
landesregierung;2;
eingereicht;2;
alpenvereins;2;
zeigte;2;
langen;2;
bahn;2;
mittelbergferner;2;
hoher;2;
geplante;2;
planung;2;
heranrückt;2;
umsetzung;2;
einstigen;2;
befinden;2;
betont;2;
freigegeben;2;
verhandlung;2;
rasante;2;
kaunertal;2;
gehört;2;
geplant;2;
bergsteigern;2;
nachhaltige;2;
erhöht;2;
bestehenden;2;
erhöhen;2;
darum;2;
notwendigen;2;
ausbau;2;
angesichts;2;
teils;2;
fachjournal;2;
veröffentlichte;2;
steigende;2;
veränderte;2;
begrenzt;2;
autoren;2;
verlangsamen;2;
erkenntnisse;2;
völlig;2;
bestätigt;2;
internationale;2;
betrachtet;2;
vorher;2;
helmholtz-zentrum;2;
zusammenhang;2;
durchschnittlichen;2;
abkommen;2;
un-klimakonferenz;2;
2021;2;
deren;2;
durchschnittstemperatur;2;
westlichen;2;
kommenden;2;
tirol;2;
28-jährige;2;
gleich;2;
stürzten;2;
daran;2;
abschnitt;2;
offenbar;2;
orf-bericht;2;
polizeisprecher;2;
nachrichtenagentur;2;
stunde;2;
hieß;2;
kam;2;
tödlich;2;
südtiroler;2;
gerald;2;
holzer;2;
josef;2;
plangger;2;
mazzag;2;
ortler;2;
südtirols;2;
nahe;2;
einzige;2;
entschieden;2;
besonderes;2;
route;2;
frontlinie;2;
ortlermassiv;2;
verläuft;2;
1915;2;
gegenüber;2;
krieg;2;
begann;2;
tiefer;2;
gehalten;2;
mussten;2;
per;2;
hand;2;
verzeichnen;2;
andernorts;2;
kunstmann;2;
temperaturerhöhung;2;
all;2;
wasserhaushalt;2;
risiken;2;
hochwasser;2;
muren;2;
strahlend;2;
weißer;2;
neuschnee;2;
zugenommen;2;
september;2;
georadar-messungen;2;
durchgeführt;2;
eises;2;
nahm;2;
weiten;2;
tiefsten;2;
zugleich;2;
schneeferners;2;
toteis;2;
infolgedessen;2;
bedeckt;2;
messen;2;
wilfried;2;
hagg;2;
eisrest;2;
2022;2;
schreibt;2;
naturwissenschaften;2;
mitteilung;2;
expertenkommission;2;
eisvolumens;2;
ursachen;2;
rein;2;
wären;2;
2010;2;
mittel;2;
schutz;2;
weder;2;
überraschung;2;
trotzdem;2;
speziell;2;
anlass;2;
ergreifen;2;
mahnt;2;
situation;2;
kleine;2;
eingestellt;2;
schmolz;2;
3.000,00;2;
zeigten;2;
inmitten;2;
sonne;2;
aufnimmt;2;
bisherigen;2;
träfe;2;
klimaabkommen;2;
danach;2;
viertel;2;
süßwasserreserven;2;
unserer;2;
geringen;2;
betrachten;2;
vollständig;2;
zunge;2;
dunkle;2;
voraussichtlich;2;
oberhalb;2;
schneearm;2;
reflektiert;2;
alten;2;
aufzeichnungen;2;
berechnet;2;
längst;2;
kälte;2;
längere;2;
bekommt;2;
blaueis;2;
berchtesgadener;2;
norditalienischen;2;
felssturz;2;
abgegangen;2;
überflogen;2;
mögliche;2;
unklar;2;
sprecher;2;
nachfrage;2;
gesteinsbrocken;2;
grat;2;
angaben;2;
anfang;2;
kamen;2;
ums;2;
abbrach;2;
begraben;2;
pausenlos;2;
löste;2;
niemand;2;
spalte;2;
klimawandelsexperten;2;
führten;2;
gewöhnlich;2;
begünstigt;2;
zählt;2;
schwersten;2;
bedrohungen;2;
skandinavien;2;
zentraleuropa;2;
halben;2;
jahrhundert;2;
aletschgletscher;2;
augenzeuge;2;
2.800,00;2;
wracks;2;
überreste;2;
hüttenwirt;2;
bergung;2;
behinderung;2;
landkreis;2;
lech;2;
gatterl;2;
knorrhütte;2;
handicap;2;
norbert;2;
wanderung;2;
nennt;2;
stimmung;2;
gegangen;2;
wandertruppe;2;
wiesen;2;
graue;2;
verwandelt;2;
wäldern;2;
voran;2;
übers;2;
gegenseitig;2;
gerne;2;
bisschen;2;
sicht;2;
treibt;2;
eisflächen;2;
tödlichen;2;
erneuter;2;
abbruch;2;
nachdem;2;
mitteilte;2;
gesperrt;2;
brocken;2;
abgebrochen;2;
erwischte;2;
normalen;2;
riss;2;
tschechische;2;
geschmolzen;2;
restlichen;2;
bergwald;2;
wetterstein;2;
gestiegen;2;
forstwissenschaftler;2;
hans-gerd;2;
bäume;2;
nachweisen;2;
erster;2;
prägt;2;
subalpinen;2;
ewald;2;
baumarten;2;
druck;2;
mischwald;2;
besondere;2;
raster;2;
kudernatsch;2;
überlegt;2;
langsam;2;
tolle;2;
exakt;2;
aufnahme;2;
ausschließen;2;
größerer;2;
