Word,Count
retter,4
ihn,3
am,51
dienstag,7
dramatischen,2
aktion,2
befreien,3
während,5
ihnen,5
zusammenfiel,1
200,2
wurde,18
lehrerin,1
hauses,1
antakya,1
gerettet,1
familien,2
schlafen,2
eisigen,2
straßen,5
un-kinderhilfswerk,2
unicef,6
betonte,1
unterdessen,4
verzweifelten,1
lage,5
kindern,2
deren,2
eltern,5
schliefen,1
straße,1
einkaufszentren,1
schulen,3
moscheen,1
busbahnhöfen,1
brücken,2
hielten,1
offenen,1
flächen,6
weil,9
angst,2
hause,1
unicef-sprecher,2
beißend,1
kalt,1
kinder,15
litten,1
unterkühlung,1
atemwegsinfektionen.dazu,1
kommt,4
großteil,3
wassersystems,2
region,9
funktionsfähig,1
system,3
erhöhen,1
risiko,4
verunreinigung,1
gesundheitsministerium,1
teilte,3
proben,1
dutzenden,1
stellen,4
kontaminationen,1
ergeben,2
mindestens,6
sieben,3
betroffen,11
laut,14
fürchte,1
tausend,1
6.,3
februar,2
lebten,1
zehn,7
vom,18
provinzen,1
"4,6",1
"2,5",3
james,1
elder,1
genf,2
er,34
verwies,1
steigende,1
todesopfern,1
endgültige,1
opferzahl,1
werde,8
unvorstellbar,1
bedarf,3
riesigdie,1
who,2
rief,1
umfassender,1
vielen,3
erdbebenopfer,3
riesig,1
wachse,1
jeder,3
stunde,4
26,1
beiden,4
bräuchten,1
humanitäre,1
unterstützung,5
zeit,6
internationale,1
gemeinschaft,1
dieselbe,1
großzügigkeit,1
zeigen,3
laufe,1
jahre,7
nationen,1
weltweit,5
gezeigt,2
land,10
beherberge,1
größte,1
flüchtlingsbevölkerung,1
erde.erleichterung,1
grenzöffnungen,1
herrscht,2
erleichterung,1
öffnung,2
grenzübergängen,2
un-generalsekretär,1
antónio,1
guterres,2
verschiedene,2
hilfsorganisationen,5
lobten,1
zwei,17
nordwest-syrien,1
entscheidung,1
präsidenten,2
bashar,1
al-assad,1
übergänge,1
bab,2
al-salam,1
al,1
ra'ee,1
zeitraum,1
zunächst,3
monaten,2
öffnen,2
ermögliche,1
lieferung,1
humanitärer,1
veröffentlichten,2
mitteilung.die,1
versorgung,2
anfang,1
vergangener,1
nahrungsmitteln,1
gesundheitsgütern,1
unterkünften,1
wintervorräten,1
lebensrettenden,1
gütern,1
äußerste,1
dringlichkeit.die,1
bevölkerung,9
assad-regime,1
kontrollierten,3
nordwesten,2
landes,4
un,1
bislang,4
hauptsächlich,1
grenze,8
gelegenen,1
übergang,1
al-hawa,1
versorgt,1
grundlage,2
dafür,8
resolution,1
un-sicherheitsrates,1
russland,1
enger,1
verbündeter,1
assad,1
2011,2
begonnenen,1
bürgerkrieg,1
hatte,7
gegen,10
ausweitung,1
mandats,1
stellung,1
bezogen.hilfsgüter,1
wert,7
"8,4",2
deutschland,26
stellte,1
türkisch-syrische,1
erdbebenregion,1
hilfsgüter,9
verfügung,5
belaufe,1
gesamtwert,1
hilfsmaterials,1
dabei,11
"6,9",1
bundesinnenministerium,1
katastrophengebiet,2
hilfsleistungen,1
"1,5",6
bereitgestellt,2
bundesinnenministerin,3
nancy,5
faeser,10
spd,7
dankte,1
rettungs-,1
bergungsteams,1
inzwischen,4
zurückgekehrt,1
haben,15
getan,1
retten,3
verschüttete,1
bergen,1
war,21
schwerer,1
