Parent IDs;ID;Konzepte;Typ;Synonyme;Wortformen;;;
75;78;Eruptionssäule;intern;;Eruptionssäulen;;;
75;79;vulkanische Bombe;intern;;vulkanische Bomben, vulkanischer Bombe, vulkanischen Bomben;;;
68;80;von Vulkan ausgelöstes Ereignis;intern;;von Vulkan ausgelöste Ereignisse;;;
80;81;Lahar ;intern;Schlamm- und Schuttströme;Lahars;;;
80;82;pyroklastischer Strom;intern;Glühlawine;pyroklastische Ströme, pyroklastisches Stroms, pyroklastischem Strom, pyroklastischen Strömen;;;
80;83;Gletscher;intern;;Gletschers, Gletschern, glet_scher_ar_tig;;;
80;85;Gerölllawine;intern;Schuttlawine;Gerölllawine;;;
68;86;Vulkantyp;intern;;Vulkantyps, Vulkantypen;;;
86;87;Schichtvulkan;intern;;Schichtvulkans, Schichtvulkane, Schichtvulkanen;;;
86;88;Schildvulkan;intern;;Schildvulkans, Schildvulkane, Schildvulkanen;;;
86;89;komplexer Vulkan;intern;;komplexes Vulkans, komplexem Vulkan, komplexen Vulkan;;;
86;90;Schlackenkegel;intern;;;;;
86;91;Spaltenvulkan;intern;;Spaltenvulkans, Spaltenvulkane;;;
86;92;Kraterreihe;intern;;Kraterreihen;;;
86;93;Maar;intern;;Maares, Maars,Maare, Maaren;;;
86;94;submariner Vulkan;intern;;submarine Vulkane, submarines Vulkanes;;;
86;95;Vulkanfeld;intern;;Vulkanfeldes, Vulkanfelder;;;
68;96;Vorhersage von Vulkanausbruch;intern;;Vorhersagev von Vulkanausbrüchen;;;
96;97;Aufzeichnung seismischer Aktivität ;intern;vulkanischer Tremor;Aufzeichnungen seismischer Aktivität ;;;
96;98;Geodätische Überwachung;intern;;Geodätische Überwachungen, geodätischen Überwachungen;;;
96;99;Messung gravimetrischer und magnetometrischer Veränderungen;intern;;;;;
96;100;Erfassung von Temperaturerhöhungen;extern;;Erfassungen von Temperaturerhöhungen;;;
68;101;Betroffenes Gebiet;intern;;Betroffene Gebiete;;;
101;102;Indonesien überzogen von Vulkanen (Hauptinsel Java);intern;;;;;
101;103;Vulkanausbruch auf La Palma;intern;;;;;
3;104;Tsunami;intern;;Tsunamis;;;
